código,descriptor_es,descriptor_en
8333/33,"Adenocarcinoma fetal - grado III, pobremente diferenciado","Fetal adenocarcinoma - grade III, poorly differentiated"
8333/34,"Adenocarcinoma fetal - grado IV, indiferenciado","Fetal adenocarcinoma - grade IV, undifferentiated"
8333/39,"Adenocarcinoma fetal - grado o diferenciación sin determinar o sin asignar, o no procede","Fetal adenocarcinoma - grade or differentiation not determined or not assigned, or not applicable"
8333/6,"Adenocarcinoma fetal, metástasis","Fetal adenocarcinoma, metastasis"
8334/0,Adenoma macrofolicular,Macrofollicular adenoma
8335/1,Tumor folicular de potencial maligno incierto,Follicular tumor of uncertain malignant potential
8335/3,"Carcinoma folicular, mínimamente invasivo","Follicular carcinoma, minimally invasive"
8335/31,"Carcinoma folicular, mínimamente invasivo - grado I, bien diferenciado","Follicular carcinoma, minimally invasive - grade I, well differentiated"
8335/32,"Carcinoma folicular, mínimamente invasivo - grado II, moderadamente diferenciado","Follicular carcinoma, minimally invasive - grade II, moderately differentiated"
8335/33,"Carcinoma folicular, mínimamente invasivo - grado III, pobremente diferenciado","Follicular carcinoma, minimally invasive - grade III, poorly differentiated"
8335/34,"Carcinoma folicular, mínimamente invasivo - grado IV, indiferenciado","Follicular carcinoma, minimally invasive - grade IV, undifferentiated"
8335/39,"Carcinoma folicular, mínimamente invasivo - grado o diferenciación sin determinar o sin asignar, o no procede","Follicular carcinoma, minimally invasive - grade or differentiation not determined or not assigned, or not applicable"
8335/6,"Carcinoma folicular, mínimamente invasivo, metástasis","Follicular carcinoma, minimally invasive, metastasis"
8336/1,Tumor trabecular hialinizante,Hyalinizing trabecular tumor
8337/3,Carcinoma de tiroides pobremente diferenciado,Poorly differentiated thyroid carcinoma
8337/33,"Carcinoma de tiroides pobremente diferenciado - grado III, pobremente diferenciado","Poorly differentiated thyroid carcinoma - grade III, poorly differentiated"
8337/6,"Carcinoma de tiroides pobremente diferenciado, metástasis","Poorly differentiated thyroid carcinoma, metastasis"
8339/3,"Carcinoma folicular, encapsulado, angioinvasivo","Follicular carcinoma, encapsulated, angioinvasive"
8339/31,"Carcinoma folicular, encapsulado, angioinvasivo - grado I, bien diferenciado","Follicular carcinoma, encapsulated, angioinvasive - grade I, well differentiated"
8339/32,"Carcinoma folicular, encapsulado, angioinvasivo - grado II, moderadamente diferenciado","Follicular carcinoma, encapsulated, angioinvasive - grade II, moderately differentiated"
8339/33,"Carcinoma folicular, encapsulado, angioinvasivo - grado III, pobremente diferenciado","Follicular carcinoma, encapsulated, angioinvasive - grade III, poorly differentiated"
8339/34,"Carcinoma folicular, encapsulado, angioinvasivo - grado IV, indiferenciado","Follicular carcinoma, encapsulated, angioinvasive - grade IV, undifferentiated"
8339/39,"Carcinoma folicular, encapsulado, angioinvasivo - grado o diferenciación sin determinar o sin asignar, o no procede","Follicular carcinoma, encapsulated, angioinvasive - grade or differentiation not determined or not assigned, or not applicable"
8339/6,"Carcinoma folicular, encapsulado, angioinvasivo, metástasis","Follicular carcinoma, encapsulated, angioinvasive, metastasis"
8340/3,"Carcinoma papilar, variante folicular","Papillary carcinoma, follicular variant"
8340/31,"Carcinoma papilar, variante folicular - grado I, bien diferenciado","Papillary carcinoma, follicular variant - grade I, well differentiated"
8340/32,"Carcinoma papilar, variante folicular - grado II, moderadamente diferenciado","Papillary carcinoma, follicular variant - grade II, moderately differentiated"
8340/33,"Carcinoma papilar, variante folicular - grado III, pobremente diferenciado","Papillary carcinoma, follicular variant - grade III, poorly differentiated"
8340/34,"Carcinoma papilar, variante folicular - grado IV, indiferenciado","Papillary carcinoma, follicular variant - grade IV, undifferentiated"
8340/39,"Carcinoma papilar, variante folicular - grado o diferenciación sin determinar o sin asignar, o no procede","Papillary carcinoma, follicular variant - grade or differentiation not determined or not assigned, or not applicable"
8340/6,"Carcinoma papilar, variante folicular, metástasis","Papillary carcinoma, follicular variant, metastasis"
8341/3,Microcarcinoma papilar,Papillary microcarcinoma
8341/31,"Microcarcinoma papilar - grado I, bien diferenciado","Papillary microcarcinoma - grade I, well differentiated"
8341/32,"Microcarcinoma papilar - grado II, moderadamente diferenciado","Papillary microcarcinoma - grade II, moderately differentiated"
8341/33,"Microcarcinoma papilar - grado III, pobremente diferenciado","Papillary microcarcinoma - grade III, poorly differentiated"
8341/34,"Microcarcinoma papilar - grado IV, indiferenciado","Papillary microcarcinoma - grade IV, undifferentiated"
8341/39,"Microcarcinoma papilar - grado o diferenciación sin determinar o sin asignar, o no procede","Papillary microcarcinoma - grade or differentiation not determined or not assigned, or not applicable"
8341/6,"Microcarcinoma papilar, metástasis","Papillary microcarcinoma, metastasis"
8342/3,"Carcinoma papilar, variante oncocítica","Papillary carcinoma, oncocytic variant"
8342/31,"Carcinoma papilar, variante oncocítica - grado I, bien diferenciado","Papillary carcinoma, oncocytic variant - grade I, well differentiated"
8342/32,"Carcinoma papilar, variante oncocítica - grado II, moderadamente diferenciado","Papillary carcinoma, oncocytic variant - grade II, moderately differentiated"
8342/33,"Carcinoma papilar, variante oncocítica - grado III, pobremente diferenciado","Papillary carcinoma, oncocytic variant - grade III, poorly differentiated"
8342/34,"Carcinoma papilar, variante oncocítica - grado IV, indiferenciado","Papillary carcinoma, oncocytic variant - grade IV, undifferentiated"
8342/39,"Carcinoma papilar, variante oncocítica - grado o diferenciación sin determinar o sin asignar, o no procede","Papillary carcinoma, oncocytic variant - grade or differentiation not determined or not assigned, or not applicable"
8342/6,"Carcinoma papilar, variante oncocítica, metástasis","Papillary carcinoma, oncocytic variant, metastasis"
8343/3,"Carcinoma papilar, encapsulado, de tiroides","Papillary carcinoma, encapsulated, of thyroid"
8343/31,"Carcinoma papilar, encapsulado, de tiroides - grado I, bien diferenciado","Papillary carcinoma, encapsulated, of thyroid - grade I, well differentiated"
8343/32,"Carcinoma papilar, encapsulado, de tiroides - grado II, moderadamente diferenciado","Papillary carcinoma, encapsulated, of thyroid - grade II, moderately differentiated"
8343/33,"Carcinoma papilar, encapsulado, de tiroides - grado III, pobremente diferenciado","Papillary carcinoma, encapsulated, of thyroid - grade III, poorly differentiated"
8343/34,"Carcinoma papilar, encapsulado, de tiroides - grado IV, indiferenciado","Papillary carcinoma, encapsulated, of thyroid - grade IV, undifferentiated"
8343/39,"Carcinoma papilar, encapsulado, de tiroides - grado o diferenciación sin determinar o sin asignar, o no procede","Papillary carcinoma, encapsulated, of thyroid - grade or differentiation not determined or not assigned, or not applicable"
8343/6,"Carcinoma papilar, encapsulado, de tiroides, metástasis","Papillary carcinoma, encapsulated, of thyroid, metastasis"
8344/3,"Carcinoma papilar, células columnares","Papillary carcinoma, columnar cell"
8344/31,"Carcinoma papilar, células columnares - grado I, bien diferenciado","Papillary carcinoma, columnar cell - grade I, well differentiated"
8344/32,"Carcinoma papilar, células columnares - grado II, moderadamente diferenciado","Papillary carcinoma, columnar cell - grade II, moderately differentiated"
8344/33,"Carcinoma papilar, células columnares - grado III, pobremente diferenciado","Papillary carcinoma, columnar cell - grade III, poorly differentiated"
8344/34,"Carcinoma papilar, células columnares - grado IV, indiferenciado","Papillary carcinoma, columnar cell - grade IV, undifferentiated"
8344/39,"Carcinoma papilar, células columnares - grado o diferenciación sin determinar o sin asignar, o no procede","Papillary carcinoma, columnar cell - grade or differentiation not determined or not assigned, or not applicable"
8344/6,"Carcinoma papilar, células columnares, metástasis","Papillary carcinoma, columnar cell, metastasis"
8345/3,Carcinoma medular de tiroides,Medullary thyroid carcinoma
8345/31,"Carcinoma medular de tiroides - grado I, bien diferenciado","Medullary thyroid carcinoma - grade I, well differentiated"
8345/32,"Carcinoma medular de tiroides - grado II, moderadamente diferenciado","Medullary thyroid carcinoma - grade II, moderately differentiated"
8345/33,"Carcinoma medular de tiroides - grado III, pobremente diferenciado","Medullary thyroid carcinoma - grade III, poorly differentiated"
8345/34,"Carcinoma medular de tiroides - grado IV, indiferenciado","Medullary thyroid carcinoma - grade IV, undifferentiated"
8345/39,"Carcinoma medular de tiroides - grado o diferenciación sin determinar o sin asignar, o no procede","Medullary thyroid carcinoma - grade or differentiation not determined or not assigned, or not applicable"
8345/6,"Carcinoma medular de tiroides, metástasis","Medullary thyroid carcinoma, metastasis"
8346/3,Carcinoma medular y folicular mixto,Mixed medullary-follicular carcinoma
8346/31,"Carcinoma medular y folicular mixto - grado I, bien diferenciado","Mixed medullary-follicular carcinoma - grade I, well differentiated"
8346/32,"Carcinoma medular y folicular mixto - grado II, moderadamente diferenciado","Mixed medullary-follicular carcinoma - grade II, moderately differentiated"
8346/33,"Carcinoma medular y folicular mixto - grado III, pobremente diferenciado","Mixed medullary-follicular carcinoma - grade III, poorly differentiated"
8346/34,"Carcinoma medular y folicular mixto - grado IV, indiferenciado","Mixed medullary-follicular carcinoma - grade IV, undifferentiated"
8346/39,"Carcinoma medular y folicular mixto - grado o diferenciación sin determinar o sin asignar, o no procede","Mixed medullary-follicular carcinoma - grade or differentiation not determined or not assigned, or not applicable"
8346/6,"Carcinoma medular y folicular mixto, metástasis","Mixed medullary-follicular carcinoma, metastasis"
8347/3,Carcinoma medular y papilar mixto,Mixed medullary-papillary carcinoma
8347/31,"Carcinoma medular y papilar mixto - grado I, bien diferenciado","Mixed medullary-papillary carcinoma - grade I, well differentiated"
8347/32,"Carcinoma medular y papilar mixto - grado II, moderadamente diferenciado","Mixed medullary-papillary carcinoma - grade II, moderately differentiated"
8347/33,"Carcinoma medular y papilar mixto - grado III, pobremente diferenciado","Mixed medullary-papillary carcinoma - grade III, poorly differentiated"
8347/34,"Carcinoma medular y papilar mixto - grado IV, indiferenciado","Mixed medullary-papillary carcinoma - grade IV, undifferentiated"
8347/39,"Carcinoma medular y papilar mixto - grado o diferenciación sin determinar o sin asignar, o no procede","Mixed medullary-papillary carcinoma - grade or differentiation not determined or not assigned, or not applicable"
8347/6,"Carcinoma medular y papilar mixto, metástasis","Mixed medullary-papillary carcinoma, metastasis"
8348/1,Tumor bien diferenciado de potencial maligno incierto,Well differentiated tumor of uncertain malignant potential
8349/1,Neoplasia folicular de tiroides no invasiva con características nucleares de tipo papilar (NIFTP),Non-invasive follicular thyroid neoplasm with papillary-like nuclear features (NIFTP)
8350/3,Carcinoma esclerosante no encapsulado,Nonencapsulated sclerosing carcinoma
8350/31,"Carcinoma esclerosante no encapsulado - grado I, bien diferenciado","Nonencapsulated sclerosing carcinoma - grade I, well differentiated"
8350/32,"Carcinoma esclerosante no encapsulado - grado II, moderadamente diferenciado","Nonencapsulated sclerosing carcinoma - grade II, moderately differentiated"
8350/33,"Carcinoma esclerosante no encapsulado - grado III, pobremente diferenciado","Nonencapsulated sclerosing carcinoma - grade III, poorly differentiated"
8350/34,"Carcinoma esclerosante no encapsulado - grado IV, indiferenciado","Nonencapsulated sclerosing carcinoma - grade IV, undifferentiated"
8350/39,"Carcinoma esclerosante no encapsulado - grado o diferenciación sin determinar o sin asignar, o no procede","Nonencapsulated sclerosing carcinoma - grade or differentiation not determined or not assigned, or not applicable"
8350/6,"Carcinoma esclerosante no encapsulado, metástasis","Nonencapsulated sclerosing carcinoma, metastasis"
8360/1,Adenomas endocrinos múltiples,Multiple endocrine adenomas
8361/0,Tumor yuxtaglomerular,Juxtaglomerular tumor
8370/0,"Adenoma cortical suprarrenal, NEOM","Adrenal cortical adenoma, NOS"
8370/3,Carcinoma cortical suprarrenal,Adrenal cortical carcinoma
8370/31,"Carcinoma cortical suprarrenal - grado I, bien diferenciado","Adrenal cortical carcinoma - grade I, well differentiated"
8370/32,"Carcinoma cortical suprarrenal - grado II, moderadamente diferenciado","Adrenal cortical carcinoma - grade II, moderately differentiated"
8370/33,"Carcinoma cortical suprarrenal - grado III, pobremente diferenciado","Adrenal cortical carcinoma - grade III, poorly differentiated"
8370/34,"Carcinoma cortical suprarrenal - grado IV, indiferenciado","Adrenal cortical carcinoma - grade IV, undifferentiated"
8370/39,"Carcinoma cortical suprarrenal - grado o diferenciación sin determinar o sin asignar, o no procede","Adrenal cortical carcinoma - grade or differentiation not determined or not assigned, or not applicable"
8370/6,"Carcinoma cortical suprarrenal, metástasis","Adrenal cortical carcinoma, metastasis"
8371/0,"Adenoma cortical suprarrenal, células compactas","Adrenal cortical adenoma, compact cell"
8372/0,"Adenoma cortical suprarrenal, pigmentado","Adrenal cortical adenoma, pigmented"
8373/0,"Adenoma cortical suprarrenal, células claras","Adrenal cortical adenoma, clear cell"
8374/0,"Adenoma cortical suprarrenal, células glomerulosas","Adrenal cortical adenoma, glomerulosa cell"
8375/0,"Adenoma cortical suprarrenal, células mixtas","Adrenal cortical adenoma, mixed cell"
8380/0,"Adenoma endometrioide, NEOM","Endometrioid adenoma, NOS"
8380/1,"Adenoma endometrioide, malignidad borderline","Endometrioid adenoma, borderline malignancy"
8380/2,Neoplasia intraepitelial endometrioide,Endometrioid intraepithelial neoplasia
8380/21,"Neoplasia intraepitelial endometrioide - grado I, bien diferenciado","Endometrioid intraepithelial neoplasia - grade I, well differentiated"
8380/22,"Neoplasia intraepitelial endometrioide - grado II, moderadamente diferenciado","Endometrioid intraepithelial neoplasia - grade II, moderately differentiated"
8380/23,"Neoplasia intraepitelial endometrioide - grado III, pobremente diferenciado","Endometrioid intraepithelial neoplasia - grade III, poorly differentiated"
8380/24,"Neoplasia intraepitelial endometrioide - grado IV, indiferenciado","Endometrioid intraepithelial neoplasia - grade IV, undifferentiated"
8380/29,"Neoplasia intraepitelial endometrioide - grado o diferenciación sin determinar o sin asignar, o no procede","Endometrioid intraepithelial neoplasia - grade or differentiation not determined or not assigned, or not applicable"
8380/3,"Adenocarcinoma endometrioide, NEOM","Endometrioid adenocarcinoma, NOS"
8380/31,"Adenocarcinoma endometrioide, NEOM - grado I, bien diferenciado","Endometrioid adenocarcinoma, NOS - grade I, well differentiated"
8380/32,"Adenocarcinoma endometrioide, NEOM - grado II, moderadamente diferenciado","Endometrioid adenocarcinoma, NOS - grade II, moderately differentiated"
8380/33,"Adenocarcinoma endometrioide, NEOM - grado III, pobremente diferenciado","Endometrioid adenocarcinoma, NOS - grade III, poorly differentiated"
8380/34,"Adenocarcinoma endometrioide, NEOM - grado IV, indiferenciado","Endometrioid adenocarcinoma, NOS - grade IV, undifferentiated"
8380/39,"Adenocarcinoma endometrioide, NEOM - grado o diferenciación sin determinar o sin asignar, o no procede","Endometrioid adenocarcinoma, NOS - grade or differentiation not determined or not assigned, or not applicable"
8380/6,"Adenocarcinoma endometrioide, NEOM, metástasis","Endometrioid adenocarcinoma, NOS, metastasis"
8381/0,"Adenofibroma endometrioide, NEOM","Endometrioid adenofibroma, NOS"
8381/1,"Adenofibroma endometrioide, malignidad borderline","Endometrioid adenofibroma, borderline malignancy"
8381/3,"Adenofibroma endometrioide, maligno","Endometrioid adenofibroma, malignant"
8381/31,"Adenofibroma endometrioide, maligno - grado I, bien diferenciado","Endometrioid adenofibroma, malignant - grade I, well differentiated"
8381/32,"Adenofibroma endometrioide, maligno - grado II, moderadamente diferenciado","Endometrioid adenofibroma, malignant - grade II, moderately differentiated"
8381/33,"Adenofibroma endometrioide, maligno - grado III, pobremente diferenciado","Endometrioid adenofibroma, malignant - grade III, poorly differentiated"
8381/34,"Adenofibroma endometrioide, maligno - grado IV, indiferenciado","Endometrioid adenofibroma, malignant - grade IV, undifferentiated"
8381/39,"Adenofibroma endometrioide, maligno - grado o diferenciación sin determinar o sin asignar, o no procede","Endometrioid adenofibroma, malignant - grade or differentiation not determined or not assigned, or not applicable"
8381/6,"Adenofibroma endometrioide, maligno, metástasis","Endometrioid adenofibroma, malignant, metastasis"
8382/3,"Adenocarcinoma endometrioide, variante secretora","Endometrioid adenocarcinoma, secretory variant"
8382/31,"Adenocarcinoma endometrioide, variante secretora - grado I, bien diferenciado","Endometrioid adenocarcinoma, secretory variant - grade I, well differentiated"
8382/32,"Adenocarcinoma endometrioide, variante secretora - grado II, moderadamente diferenciado","Endometrioid adenocarcinoma, secretory variant - grade II, moderately differentiated"
8382/33,"Adenocarcinoma endometrioide, variante secretora - grado III, pobremente diferenciado","Endometrioid adenocarcinoma, secretory variant - grade III, poorly differentiated"
8382/34,"Adenocarcinoma endometrioide, variante secretora - grado IV, indiferenciado","Endometrioid adenocarcinoma, secretory variant - grade IV, undifferentiated"
8382/39,"Adenocarcinoma endometrioide, variante secretora - grado o diferenciación sin determinar o sin asignar, o no procede","Endometrioid adenocarcinoma, secretory variant - grade or differentiation not determined or not assigned, or not applicable"
8382/6,"Adenocarcinoma endometrioide, variante secretora, metástasis","Endometrioid adenocarcinoma, secretory variant, metastasis"
8383/3,"Adenocarcinoma endometrioide, variante de células ciliadas","Endometrioid adenocarcinoma, ciliated cell variant"
8383/31,"Adenocarcinoma endometrioide, variante de células ciliadas - grado I, bien diferenciado","Endometrioid adenocarcinoma, ciliated cell variant - grade I, well differentiated"
8383/32,"Adenocarcinoma endometrioide, variante de células ciliadas - grado II, moderadamente diferenciado","Endometrioid adenocarcinoma, ciliated cell variant - grade II, moderately differentiated"
8383/33,"Adenocarcinoma endometrioide, variante de células ciliadas - grado III, pobremente diferenciado","Endometrioid adenocarcinoma, ciliated cell variant - grade III, poorly differentiated"
8383/34,"Adenocarcinoma endometrioide, variante de células ciliadas - grado IV, indiferenciado","Endometrioid adenocarcinoma, ciliated cell variant - grade IV, undifferentiated"
8383/39,"Adenocarcinoma endometrioide, variante de células ciliadas - grado o diferenciación sin determinar o sin asignar, o no procede","Endometrioid adenocarcinoma, ciliated cell variant - grade or differentiation not determined or not assigned, or not applicable"
8383/6,"Adenocarcinoma endometrioide, variante de células ciliadas, metástasis","Endometrioid adenocarcinoma, ciliated cell variant, metastasis"
8384/3,"Adenocarcinoma, tipo endocervical, NEOM","Adenocarcinoma, endocervical type, NOS"
8384/31,"Adenocarcinoma, tipo endocervical, NEOM - grado I, bien diferenciado","Adenocarcinoma, endocervical type, NOS - grade I, well differentiated"
8384/32,"Adenocarcinoma, tipo endocervical, NEOM - grado II, moderadamente diferenciado","Adenocarcinoma, endocervical type, NOS - grade II, moderately differentiated"
8384/33,"Adenocarcinoma, tipo endocervical, NEOM - grado III, pobremente diferenciado","Adenocarcinoma, endocervical type, NOS - grade III, poorly differentiated"
8384/34,"Adenocarcinoma, tipo endocervical, NEOM - grado IV, indiferenciado","Adenocarcinoma, endocervical type, NOS - grade IV, undifferentiated"
8384/39,"Adenocarcinoma, tipo endocervical, NEOM - grado o diferenciación sin determinar o sin asignar, o no procede","Adenocarcinoma, endocervical type, NOS - grade or differentiation not determined or not assigned, or not applicable"
8384/6,"Adenocarcinoma, tipo endocervical, NEOM, metástasis","Adenocarcinoma, endocervical type, NOS, metastasis"
8390/0,Adenoma apendicular de piel,Skin appendage adenoma
8390/3,"Adenocarcinoma anexial, NEOM","Adnexal adenocarcinoma, NOS"
8390/31,"Adenocarcinoma anexial, NEOM - grado I, bien diferenciado","Adnexal adenocarcinoma, NOS - grade I, well differentiated"
8390/32,"Adenocarcinoma anexial, NEOM - grado II, moderadamente diferenciado","Adnexal adenocarcinoma, NOS - grade II, moderately differentiated"
8390/33,"Adenocarcinoma anexial, NEOM - grado III, pobremente diferenciado","Adnexal adenocarcinoma, NOS - grade III, poorly differentiated"
8390/34,"Adenocarcinoma anexial, NEOM - grado IV, indiferenciado","Adnexal adenocarcinoma, NOS - grade IV, undifferentiated"
8390/39,"Adenocarcinoma anexial, NEOM - grado o diferenciación sin determinar o sin asignar, o no procede","Adnexal adenocarcinoma, NOS - grade or differentiation not determined or not assigned, or not applicable"
8390/6,"Adenocarcinoma anexial, NEOM, metástasis","Adnexal adenocarcinoma, NOS, metastasis"
8391/0,Fibroma folicular,Follicular fibroma
8392/0,Siringofibroadenoma,Syringofibroadenoma
8400/0,Adenoma de glándula sudorípara,Sweat gland adenoma
8400/1,"Tumor de glándula sudorípara, NEOM","Sweat gland tumor, NOS"
8400/3,Adenocarcinoma de glándula sudorípara,Sweat gland adenocarcinoma
8400/31,"Adenocarcinoma de glándula sudorípara - grado I, bien diferenciado","Sweat gland adenocarcinoma - grade I, well differentiated"
8400/32,"Adenocarcinoma de glándula sudorípara - grado II, moderadamente diferenciado","Sweat gland adenocarcinoma - grade II, moderately differentiated"
8400/33,"Adenocarcinoma de glándula sudorípara - grado III, pobremente diferenciado","Sweat gland adenocarcinoma - grade III, poorly differentiated"
8400/34,"Adenocarcinoma de glándula sudorípara - grado IV, indiferenciado","Sweat gland adenocarcinoma - grade IV, undifferentiated"
8400/39,"Adenocarcinoma de glándula sudorípara - grado o diferenciación sin determinar o sin asignar, o no procede","Sweat gland adenocarcinoma - grade or differentiation not determined or not assigned, or not applicable"
8400/6,"Adenocarcinoma de glándula sudorípara, metástasis","Sweat gland adenocarcinoma, metastasis"
8401/0,Adenoma apocrino,Apocrine adenoma
8401/3,Adenocarcinoma apocrino,Apocrine adenocarcinoma
8401/31,"Adenocarcinoma apocrino - grado I, bien diferenciado","Apocrine adenocarcinoma - grade I, well differentiated"
8401/32,"Adenocarcinoma apocrino - grado II, moderadamente diferenciado","Apocrine adenocarcinoma - grade II, moderately differentiated"
8401/33,"Adenocarcinoma apocrino - grado III, pobremente diferenciado","Apocrine adenocarcinoma - grade III, poorly differentiated"
8401/34,"Adenocarcinoma apocrino - grado IV, indiferenciado","Apocrine adenocarcinoma - grade IV, undifferentiated"
8401/39,"Adenocarcinoma apocrino - grado o diferenciación sin determinar o sin asignar, o no procede","Apocrine adenocarcinoma - grade or differentiation not determined or not assigned, or not applicable"
8401/6,"Adenocarcinoma apocrino, metástasis","Apocrine adenocarcinoma, metastasis"
8402/0,"Hidroadenoma, NEOM","Hidradenoma, NOS"
8402/3,Hidroadenocarcinoma,Hidradenocarcinoma
8402/31,"Hidroadenocarcinoma - grado I, bien diferenciado","Hidradenocarcinoma - grade I, well differentiated"
8402/32,"Hidroadenocarcinoma - grado II, moderadamente diferenciado","Hidradenocarcinoma - grade II, moderately differentiated"
8402/33,"Hidroadenocarcinoma - grado III, pobremente diferenciado","Hidradenocarcinoma - grade III, poorly differentiated"
8402/34,"Hidroadenocarcinoma - grado IV, indiferenciado","Hidradenocarcinoma - grade IV, undifferentiated"
8402/39,"Hidroadenocarcinoma - grado o diferenciación sin determinar o sin asignar, o no procede","Hidradenocarcinoma - grade or differentiation not determined or not assigned, or not applicable"
8402/6,"Hidroadenocarcinoma, metástasis","Hidradenocarcinoma, metastasis"
8403/0,"Espiroadenoma, NEOM","Spiradenoma, NOS"
8403/3,Espiroadenoma ecrino maligno,Malignant eccrine spiradenoma
8403/31,"Espiroadenoma ecrino maligno - grado I, bien diferenciado","Malignant eccrine spiradenoma - grade I, well differentiated"
8403/32,"Espiroadenoma ecrino maligno - grado II, moderadamente diferenciado","Malignant eccrine spiradenoma - grade II, moderately differentiated"
8403/33,"Espiroadenoma ecrino maligno - grado III, pobremente diferenciado","Malignant eccrine spiradenoma - grade III, poorly differentiated"
8403/34,"Espiroadenoma ecrino maligno - grado IV, indiferenciado","Malignant eccrine spiradenoma - grade IV, undifferentiated"
8403/39,"Espiroadenoma ecrino maligno - grado o diferenciación sin determinar o sin asignar, o no procede","Malignant eccrine spiradenoma - grade or differentiation not determined or not assigned, or not applicable"
8403/6,"Espiroadenoma ecrino maligno, metástasis","Malignant eccrine spiradenoma, metastasis"
8404/0,Hidrocistoma,Hidrocystoma
8405/0,Hidroadenoma papilar,Papillary hidradenoma
8406/0,Siringoadenoma papilífero,Syringocystadenoma papilliferum
8406/3,Siringocistoadenocarcinoma papilífero,Syringocystadenocarcinoma papilliferum
8406/31,"Siringocistoadenocarcinoma papilífero - grado I, bien diferenciado","Syringocystadenocarcinoma papilliferum - grade I, well differentiated"
8406/32,"Siringocistoadenocarcinoma papilífero - grado II, moderadamente diferenciado","Syringocystadenocarcinoma papilliferum - grade II, moderately differentiated"
8406/33,"Siringocistoadenocarcinoma papilífero - grado III, pobremente diferenciado","Syringocystadenocarcinoma papilliferum - grade III, poorly differentiated"
8406/34,"Siringocistoadenocarcinoma papilífero - grado IV, indiferenciado","Syringocystadenocarcinoma papilliferum - grade IV, undifferentiated"
8406/39,"Siringocistoadenocarcinoma papilífero - grado o diferenciación sin determinar o sin asignar, o no procede","Syringocystadenocarcinoma papilliferum - grade or differentiation not determined or not assigned, or not applicable"
8406/6,"Siringocistoadenocarcinoma papilífero, metástasis","Syringocystadenocarcinoma papilliferum, metastasis"
8407/0,"Siringoma, NEOM","Syringoma, NOS"
8407/3,Carcinoma anexial microquístico,Microcystic adnexal carcinoma
8407/31,"Carcinoma anexial microquístico - grado I, bien diferenciado","Microcystic adnexal carcinoma - grade I, well differentiated"
8407/32,"Carcinoma anexial microquístico - grado II, moderadamente diferenciado","Microcystic adnexal carcinoma - grade II, moderately differentiated"
8407/33,"Carcinoma anexial microquístico - grado III, pobremente diferenciado","Microcystic adnexal carcinoma - grade III, poorly differentiated"
8407/34,"Carcinoma anexial microquístico - grado IV, indiferenciado","Microcystic adnexal carcinoma - grade IV, undifferentiated"
8407/39,"Carcinoma anexial microquístico - grado o diferenciación sin determinar o sin asignar, o no procede","Microcystic adnexal carcinoma - grade or differentiation not determined or not assigned, or not applicable"
8407/6,"Carcinoma anexial microquístico, metástasis","Microcystic adnexal carcinoma, metastasis"
8408/0,Adenoma papilar ecrino,Eccrine papillary adenoma
8408/3,Adenocarcinoma papilar digital,Digital papillary adenocarcinoma
8408/31,"Adenocarcinoma papilar digital - grado I, bien diferenciado","Digital papillary adenocarcinoma - grade I, well differentiated"
8408/32,"Adenocarcinoma papilar digital - grado II, moderadamente diferenciado","Digital papillary adenocarcinoma - grade II, moderately differentiated"
8408/33,"Adenocarcinoma papilar digital - grado III, pobremente diferenciado","Digital papillary adenocarcinoma - grade III, poorly differentiated"
8408/34,"Adenocarcinoma papilar digital - grado IV, indiferenciado","Digital papillary adenocarcinoma - grade IV, undifferentiated"
8408/39,"Adenocarcinoma papilar digital - grado o diferenciación sin determinar o sin asignar, o no procede","Digital papillary adenocarcinoma - grade or differentiation not determined or not assigned, or not applicable"
8408/6,"Adenocarcinoma papilar digital, metástasis","Digital papillary adenocarcinoma, metastasis"
8409/0,"Poroma, NEOM","Poroma, NOS"
8409/2,Porocarcinoma in situ,Porocarcinoma in situ
8409/21,"Porocarcinoma in situ - grado I, bien diferenciado","Porocarcinoma in situ - grade I, well differentiated"
8409/22,"Porocarcinoma in situ - grado II, moderadamente diferenciado","Porocarcinoma in situ - grade II, moderately differentiated"
8409/23,"Porocarcinoma in situ - grado III, pobremente diferenciado","Porocarcinoma in situ - grade III, poorly differentiated"
8409/24,"Porocarcinoma in situ - grado IV, indiferenciado","Porocarcinoma in situ - grade IV, undifferentiated"
8409/29,"Porocarcinoma in situ - grado o diferenciación sin determinar o sin asignar, o no procede","Porocarcinoma in situ - grade or differentiation not determined or not assigned, or not applicable"
8409/3,"Porocarcinoma, NEOM","Porocarcinoma, NOS"
8409/31,"Porocarcinoma, NEOM - grado I, bien diferenciado","Porocarcinoma, NOS - grade I, well differentiated"
8409/32,"Porocarcinoma, NEOM - grado II, moderadamente diferenciado","Porocarcinoma, NOS - grade II, moderately differentiated"
8409/33,"Porocarcinoma, NEOM - grado III, pobremente diferenciado","Porocarcinoma, NOS - grade III, poorly differentiated"
8409/34,"Porocarcinoma, NEOM - grado IV, indiferenciado","Porocarcinoma, NOS - grade IV, undifferentiated"
8409/39,"Porocarcinoma, NEOM - grado o diferenciación sin determinar o sin asignar, o no procede","Porocarcinoma, NOS - grade or differentiation not determined or not assigned, or not applicable"
8409/6,"Porocarcinoma, NEOM, metástasis","Porocarcinoma, NOS, metastasis"
8410/0,Sebaceoma,Sebaceoma
8410/3,Carcinoma sebáceo,Sebaceous carcinoma
