código,descriptor_es,descriptor_en
9120/32,"Hemangiosarcoma - grado II, moderadamente diferenciado","Hemangiosarcoma - grade II, moderately differentiated"
9120/33,"Hemangiosarcoma - grado III, pobremente diferenciado","Hemangiosarcoma - grade III, poorly differentiated"
9120/34,"Hemangiosarcoma - grado IV, indiferenciado","Hemangiosarcoma - grade IV, undifferentiated"
9120/39,"Hemangiosarcoma - grado o diferenciación sin determinar o sin asignar, o no procede","Hemangiosarcoma - grade or differentiation not determined or not assigned, or not applicable"
9120/6,"Hemangiosarcoma, metástasis","Hemangiosarcoma, metastasis"
9121/0,Hemangioma cavernoso,Cavernous hemangioma
9122/0,Hemangioma venoso,Venous hemangioma
9123/0,Hemangioma racemoso,Racemose hemangioma
9124/3,Sarcoma de células de Kupffer,Kupffer cell sarcoma
9124/31,"Sarcoma de células de Kupffer - grado I, bien diferenciado","Kupffer cell sarcoma - grade I, well differentiated"
9124/32,"Sarcoma de células de Kupffer - grado II, moderadamente diferenciado","Kupffer cell sarcoma - grade II, moderately differentiated"
9124/33,"Sarcoma de células de Kupffer - grado III, pobremente diferenciado","Kupffer cell sarcoma - grade III, poorly differentiated"
9124/34,"Sarcoma de células de Kupffer - grado IV, indiferenciado","Kupffer cell sarcoma - grade IV, undifferentiated"
9124/39,"Sarcoma de células de Kupffer - grado o diferenciación sin determinar o sin asignar, o no procede","Kupffer cell sarcoma - grade or differentiation not determined or not assigned, or not applicable"
9124/6,"Sarcoma de células de Kupffer, metástasis","Kupffer cell sarcoma, metastasis"
9125/0,Hemangioma epitelioide,Epithelioid hemangioma
9126/0,Lesión vascular atípica,Atypical vascular lesion
9130/0,"Hemangioendotelioma, benigno","Hemangioendothelioma, benign"
9130/1,"Hemangioendotelioma, NEOM","Hemangioendothelioma, NOS"
9130/3,"Hemangioendotelioma, maligno","Hemangioendothelioma, malignant"
9130/31,"Hemangioendotelioma, maligno - grado I, bien diferenciado","Hemangioendothelioma, malignant - grade I, well differentiated"
9130/32,"Hemangioendotelioma, maligno - grado II, moderadamente diferenciado","Hemangioendothelioma, malignant - grade II, moderately differentiated"
9130/33,"Hemangioendotelioma, maligno - grado III, pobremente diferenciado","Hemangioendothelioma, malignant - grade III, poorly differentiated"
9130/34,"Hemangioendotelioma, maligno - grado IV, indiferenciado","Hemangioendothelioma, malignant - grade IV, undifferentiated"
